HUMIDITY(%),PRESSURE(hPa),DATE,TIME,CITY
45.000000, 1017.000000,2024-01-12,21:24:02,Karachi
45.000000, 1017.000000,2024-01-12,21:24:29,Karachi
62.000000, 1016.000000,2024-01-13,03:30:20,Karachi
62.000000, 1016.000000,2024-01-13,03:31:34,Karachi
66.000000, 1016.000000,2024-01-13,03:34:30,Karachi
66.000000, 1016.000000,2024-01-13,03:34:44,Karachi
66.000000, 1016.000000,2024-01-13,03:47:56,Karachi
66.000000, 1016.000000,2024-01-13,03:48:35,Karachi
66.000000, 1016.000000,2024-01-13,03:54:56,Karachi
76.000000, 1017.000000,2024-01-13,08:18:38,Karachi
76.000000, 1017.000000,2024-01-13,08:19:30,Karachi
55.000000, 1018.000000,2024-01-13,09:58:50,Karachi
55.000000, 1018.000000,2024-01-13,09:59:50,Karachi
55.000000, 1018.000000,2024-01-13,10:01:50,Karachi
55.000000, 1018.000000,2024-01-13,10:03:28,Karachi
55.000000, 1018.000000,2024-01-13,10:04:00,Karachi
52.000000, 1018.000000,2024-01-13,10:23:23,Karachi
52.000000, 1018.000000,2024-01-13,10:25:59,Karachi
52.000000, 1018.000000,2024-01-13,10:28:29,Karachi
49.000000, 1019.000000,2024-01-13,11:05:41,Karachi
49.000000, 1019.000000,2024-01-13,11:09:16,Karachi
49.000000, 1019.000000,2024-01-13,11:09:54,Karachi
49.000000, 1019.000000,2024-01-13,11:10:47,Karachi
49.000000, 1019.000000,2024-01-13,11:12:59,Karachi
49.000000, 1019.000000,2024-01-13,11:13:33,Karachi
49.000000, 1019.000000,2024-01-13,11:14:58,Karachi
49.000000, 1019.000000,2024-01-13,11:15:30,Karachi
49.000000, 1018.000000,2024-01-13,11:42:06,Karachi
49.000000, 1018.000000,2024-01-13,11:45:46,Karachi
